ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
552,1.623,1.208,2.3,50.981,11.302,4.264,0.385,0.648,18.223,0.83,0.113,0.113,0.208
557,1.648,1.185,2.3,51.148,11.407,4.296,0.384,0.636,18.154,0.815,0.111,0.111,0.204
565,1.636,1.182,2.2,51.4,11.564,4.4,0.386,0.634,18.111,0.818,0.127,0.127,0.2
583,1.625,1.161,3.1,51.804,11.732,4.482,0.387,0.64,18.102,0.804,0.125,0.125,0.196
594,1.649,1.175,0.5,51.789,12.0,4.544,0.385,0.638,18.072,0.807,0.123,0.123,0.193
600,1.621,1.19,1.4,51.517,11.897,4.517,0.387,0.639,18.047,0.793,0.121,0.121,0.19
611,1.627,1.22,1.2,51.458,11.831,4.492,0.387,0.639,18.0,0.78,0.119,0.119,0.186
622,1.6,1.233,1.4,51.567,11.917,4.533,0.388,0.641,17.965,0.8,0.117,0.117,0.183
626,1.623,1.246,0.7,51.197,11.82,4.541,0.395,0.636,17.916,0.787,0.115,0.115,0.197
630,1.597,1.242,1.9,51.435,11.823,4.5,0.391,0.637,17.908,0.774,0.113,0.113,0.194
647,1.635,1.222,2.5,51.413,11.873,4.587,0.396,0.643,17.849,0.762,0.111,0.111,0.19
654,1.688,1.203,1.5,51.469,11.906,4.625,0.397,0.633,17.781,0.75,0.109,0.109,0.188
662,1.692,1.231,2.2,51.554,11.862,4.569,0.393,0.631,17.812,0.754,0.123,0.123,0.185
668,1.697,1.212,3.0,51.561,11.939,4.606,0.393,0.622,17.83,0.758,0.121,0.121,0.182
677,1.716,1.209,3.1,51.582,12.015,4.597,0.391,0.612,17.812,0.746,0.119,0.119,0.179
685,1.765,1.206,1.1,51.706,12.118,4.618,0.39,0.603,17.785,0.75,0.118,0.118,0.176
690,1.797,1.188,0.5,51.652,12.101,4.623,0.391,0.609,17.8,0.739,0.116,0.116,0.174
706,1.771,1.186,0.6,51.614,12.0,4.557,0.385,0.611,17.843,0.729,0.114,0.114,0.171
719,1.746,1.169,1.2,51.676,11.958,4.493,0.38,0.617,17.827,0.718,0.113,0.113,0.169
728,1.764,1.167,0.9,51.514,11.972,4.528,0.382,0.615,17.776,0.708,0.111,0.111,0.167
738,1.753,1.164,2.7,51.301,11.918,4.507,0.382,0.616,17.773,0.699,0.11,0.11,0.164
739,1.77,1.149,2.2,51.378,11.959,4.514,0.381,0.621,17.726,0.689,0.122,0.122,0.162
753,1.76,1.133,3.4,51.6,12.067,4.533,0.38,0.626,17.76,0.68,0.133,0.133,0.16
763,1.803,1.118,1.5,51.697,12.158,4.632,0.383,0.618,17.722,0.671,0.132,0.132,0.158
779,1.831,1.117,1.0,51.779,12.234,4.675,0.384,0.616,17.706,0.662,0.13,0.13,0.156
781,1.833,1.128,1.7,51.59,12.205,4.679,0.386,0.612,17.651,0.654,0.128,0.128,0.154
800,1.823,1.114,2.4,51.57,12.19,4.671,0.385,0.617,17.576,0.646,0.127,0.127,0.152
808,1.825,1.1,0.6,51.488,12.25,4.675,0.384,0.622,17.602,0.638,0.125,0.138,0.15
817,1.815,1.099,2.9,51.605,12.247,4.654,0.382,0.624,17.593,0.63,0.123,0.136,0.148
825,1.817,1.098,2.2,51.61,12.378,4.72,0.383,0.624,17.567,0.634,0.122,0.134,0.146
828,1.867,1.108,1.6,51.518,12.422,4.795,0.387,0.625,17.554,0.627,0.12,0.133,0.157
842,1.857,1.131,0.8,51.333,12.345,4.762,0.386,0.625,17.582,0.619,0.131,0.143,0.155
852,1.847,1.118,2.2,51.212,12.294,4.741,0.386,0.63,17.595,0.624,0.129,0.141,0.153
864,1.849,1.105,0.6,51.337,12.384,4.756,0.385,0.622,17.591,0.628,0.14,0.151,0.151
875,1.828,1.115,1.6,51.299,12.345,4.724,0.383,0.624,17.56,0.621,0.138,0.149,0.149
879,1.818,1.125,2.0,51.318,12.398,4.716,0.381,0.624,17.552,0.614,0.136,0.148,0.148
896,1.831,1.135,1.2,51.517,12.517,4.742,0.381,0.623,17.525,0.618,0.135,0.146,0.146
901,1.822,1.144,1.8,51.467,12.533,4.744,0.38,0.623,17.49,0.611,0.133,0.144,0.144
907,1.846,1.165,1.1,51.505,12.549,4.769,0.382,0.621,17.457,0.604,0.132,0.143,0.143
925,1.848,1.174,0.7,51.609,12.576,4.804,0.383,0.619,17.482,0.609,0.13,0.141,0.141
935,1.828,1.183,1.4,51.688,12.505,4.763,0.381,0.618,17.457,0.613,0.129,0.14,0.14
947,1.851,1.17,1.6,51.702,12.521,4.777,0.381,0.622,17.444,0.606,0.128,0.138,0.138
949,1.832,1.179,0.8,51.695,12.568,4.8,0.382,0.622,17.432,0.611,0.126,0.137,0.137
959,1.833,1.208,0.9,51.594,12.531,4.781,0.381,0.619,17.422,0.604,0.125,0.135,0.135
969,1.825,1.196,1.4,51.536,12.505,4.763,0.38,0.623,17.418,0.608,0.124,0.134,0.134
975,1.816,1.184,1.3,51.378,12.5,4.745,0.379,0.627,17.39,0.602,0.122,0.133,0.133
991,1.808,1.212,1.5,51.374,12.485,4.737,0.379,0.624,17.384,0.616,0.121,0.131,0.131
999,1.81,1.2,0.8,51.43,12.52,4.75,0.379,0.628,17.425,0.61,0.12,0.13,0.13
1007,1.812,1.188,1.2,51.327,12.475,4.733,0.379,0.631,17.416,0.604,0.119,0.129,0.129
1014,1.794,1.186,2.0,51.353,12.559,4.745,0.378,0.633,17.447,0.618,0.118,0.127,0.127
1028,1.806,1.184,2.3,51.388,12.573,4.757,0.378,0.634,17.421,0.612,0.126,0.136,0.136
1040,1.817,1.202,1.4,51.365,12.615,4.74,0.377,0.633,17.406,0.606,0.125,0.135,0.144
1053,1.81,1.2,0.8,51.457,12.562,4.695,0.373,0.635,17.427,0.6,0.133,0.143,0.143
1058,1.811,1.198,2.2,51.302,12.528,4.679,0.373,0.636,17.406,0.594,0.132,0.142,0.142
1074,1.813,1.215,1.0,51.364,12.636,4.71,0.372,0.634,17.41,0.598,0.131,0.14,0.14
1084,1.806,1.259,2.5,51.296,12.62,4.694,0.371,0.631,17.408,0.593,0.13,0.139,0.139
1092,1.807,1.266,2.0,51.193,12.67,4.716,0.371,0.632,17.4,0.587,0.128,0.138,0.138
1099,1.818,1.291,0.9,51.027,12.645,4.727,0.374,0.623,17.425,0.582,0.127,0.136,0.145
1112,1.811,1.279,1.4,51.072,12.604,4.712,0.374,0.626,17.382,0.577,0.126,0.135,0.144
1119,1.804,1.286,1.7,51.08,12.527,4.679,0.372,0.625,17.408,0.571,0.134,0.143,0.143
1132,1.796,1.301,2.2,51.168,12.611,4.699,0.372,0.622,17.39,0.575,0.133,0.142,0.142
1148,1.816,1.298,1.3,51.14,12.596,4.719,0.374,0.621,17.365,0.57,0.132,0.14,0.14
1155,1.817,1.304,1.7,51.296,12.643,4.73,0.374,0.621,17.384,0.565,0.13,0.139,0.148
1161,1.819,1.293,2.1,51.328,12.681,4.741,0.374,0.624,17.353,0.56,0.129,0.138,0.147
1172,1.821,1.282,2.2,51.368,12.718,4.752,0.374,0.627,17.347,0.564,0.128,0.137,0.145
1185,1.847,1.288,2.1,51.381,12.788,4.805,0.375,0.626,17.364,0.559,0.127,0.136,0.144
1198,1.849,1.286,1.4,51.538,12.916,4.849,0.375,0.627,17.355,0.555,0.126,0.134,0.143
1207,1.85,1.292,2.2,51.55,12.917,4.85,0.375,0.626,17.344,0.55,0.125,0.133,0.15
1211,1.851,1.289,1.9,51.653,13.008,4.876,0.374,0.627,17.364,0.545,0.124,0.132,0.149
1230,1.844,1.279,1.5,51.77,13.025,4.869,0.374,0.63,17.361,0.549,0.123,0.131,0.148
1231,1.846,1.268,1.1,51.797,13.041,4.87,0.373,0.634,17.359,0.545,0.122,0.13,0.146
1250,1.847,1.266,0.9,51.984,13.016,4.839,0.371,0.634,17.377,0.548,0.121,0.129,0.145
1251,1.84,1.288,0.7,51.888,12.976,4.84,0.373,0.631,17.426,0.552,0.12,0.128,0.152
1268,1.833,1.294,2.3,51.937,12.921,4.817,0.373,0.63,17.426,0.548,0.119,0.127,0.151
1280,1.827,1.299,0.5,52.016,12.961,4.835,0.373,0.63,17.399,0.543,0.118,0.126,0.15
1290,1.836,1.312,1.8,51.961,12.922,4.828,0.374,0.627,17.425,0.539,0.117,0.125,0.148
1300,1.829,1.318,3.8,52.132,13.0,4.837,0.373,0.627,17.422,0.543,0.116,0.124,0.147
1301,1.846,1.315,1.5,52.162,13.069,4.877,0.374,0.627,17.408,0.538,0.123,0.131,0.146
1316,1.847,1.305,1.5,52.267,13.061,4.885,0.375,0.63,17.37,0.534,0.122,0.13,0.145
1327,1.848,1.303,2.3,52.333,13.061,4.894,0.375,0.632,17.353,0.53,0.121,0.129,0.144
1336,1.85,1.323,2.3,52.353,13.105,4.88,0.374,0.63,17.337,0.534,0.12,0.128,0.158
1343,1.858,1.321,1.2,52.336,13.097,4.888,0.375,0.631,17.317,0.53,0.119,0.127,0.157
1354,1.859,1.326,2.9,52.415,13.119,4.889,0.374,0.627,17.296,0.526,0.119,0.126,0.156
1359,1.868,1.331,1.0,52.522,13.162,4.89,0.373,0.626,17.274,0.522,0.118,0.125,0.154
1372,1.869,1.336,1.6,52.555,13.131,4.898,0.375,0.625,17.277,0.518,0.117,0.124,0.153
1380,1.87,1.333,1.6,52.551,13.152,4.906,0.375,0.625,17.276,0.522,0.116,0.123,0.159
1401,1.863,1.338,1.9,52.683,13.165,4.899,0.375,0.625,17.255,0.518,0.115,0.122,0.158
1414,1.871,1.336,1.5,52.864,13.171,4.907,0.375,0.621,17.228,0.514,0.114,0.121,0.157
1422,1.887,1.326,2.4,52.972,13.142,4.908,0.376,0.623,17.211,0.511,0.113,0.121,0.156
1427,1.873,1.338,2.9,53.0,13.148,4.908,0.376,0.623,17.189,0.507,0.113,0.12,0.155
1438,1.874,1.336,1.0,53.119,13.175,4.888,0.374,0.623,17.17,0.51,0.112,0.119,0.154
1453,1.868,1.333,1.5,53.215,13.174,4.882,0.374,0.624,17.172,0.507,0.111,0.118,0.153
1454,1.876,1.331,0.8,53.283,13.2,4.897,0.374,0.626,17.192,0.51,0.11,0.117,0.152
1484,1.863,1.349,2.3,53.411,13.185,4.877,0.373,0.623,17.205,0.507,0.11,0.116,0.151
1487,1.864,1.361,1.6,53.469,13.19,4.85,0.371,0.619,17.202,0.503,0.116,0.122,0.15
1496,1.851,1.365,1.2,53.534,13.23,4.838,0.369,0.618,17.2,0.5,0.115,0.122,0.149
1500,1.852,1.383,2.7,53.55,13.215,4.846,0.371,0.618,17.23,0.503,0.114,0.121,0.148
1508,1.853,1.38,1.7,53.613,13.267,4.873,0.371,0.618,17.221,0.5,0.113,0.12,0.147
1511,1.841,1.384,3.1,53.609,13.245,4.874,0.372,0.618,17.207,0.497,0.113,0.119,0.152
1530,1.849,1.375,1.2,53.75,13.276,4.901,0.373,0.62,17.188,0.5,0.112,0.118,0.151
1532,1.843,1.373,2.4,53.856,13.288,4.908,0.373,0.62,17.165,0.497,0.111,0.118,0.15
1549,1.857,1.364,1.2,53.961,13.286,4.922,0.374,0.623,17.145,0.5,0.11,0.117,0.149
1559,1.852,1.368,0.7,54.032,13.329,4.929,0.373,0.621,17.163,0.503,0.11,0.116,0.148
1563,1.84,1.365,3.5,54.09,13.34,4.929,0.373,0.622,17.169,0.5,0.109,0.115,0.147
1579,1.847,1.363,4.4,54.051,13.401,4.955,0.373,0.623,17.152,0.497,0.108,0.115,0.146
1590,1.854,1.354,1.3,54.095,13.468,4.987,0.374,0.626,17.135,0.494,0.108,0.114,0.146
1591,1.855,1.365,1.9,54.126,13.465,4.975,0.373,0.623,17.13,0.491,0.107,0.113,0.145
1607,1.869,1.362,0.7,54.144,13.519,4.988,0.372,0.623,17.121,0.488,0.106,0.112,0.144
1618,1.857,1.36,2.4,54.217,13.503,4.975,0.372,0.625,17.095,0.484,0.106,0.112,0.143
1628,1.87,1.358,1.5,54.198,13.519,4.981,0.372,0.621,17.115,0.488,0.105,0.111,0.142
1637,1.865,1.362,2.5,54.27,13.54,4.982,0.371,0.619,17.12,0.485,0.104,0.11,0.141
1647,1.878,1.354,0.8,54.195,13.512,4.994,0.374,0.622,17.095,0.482,0.104,0.11,0.14
1660,1.873,1.352,0.9,54.176,13.479,4.982,0.374,0.623,17.097,0.491,0.103,0.109,0.139
1668,1.861,1.349,2.8,54.241,13.47,4.976,0.373,0.624,17.096,0.488,0.102,0.108,0.139
1677,1.868,1.365,2.3,54.15,13.467,4.976,0.374,0.623,17.076,0.491,0.102,0.108,0.15
1689,1.887,1.357,1.3,54.173,13.494,5.0,0.374,0.625,17.052,0.488,0.101,0.107,0.149
1692,1.893,1.385,0.9,54.16,13.467,5.0,0.375,0.624,17.053,0.485,0.101,0.107,0.148
1701,1.882,1.382,2.2,54.253,13.465,4.994,0.375,0.624,17.07,0.488,0.1,0.106,0.147
1710,1.883,1.386,0.9,54.216,13.456,4.977,0.374,0.622,17.063,0.485,0.099,0.111,0.146
1727,1.878,1.39,0.8,54.227,13.453,4.971,0.373,0.622,17.056,0.483,0.099,0.11,0.145
1736,1.873,1.393,1.1,54.185,13.434,4.954,0.372,0.621,17.05,0.48,0.098,0.11,0.145
1746,1.874,1.402,1.0,54.241,13.42,4.954,0.373,0.62,17.047,0.477,0.098,0.109,0.144
1756,1.869,1.406,0.8,54.28,13.429,4.96,0.373,0.619,17.054,0.48,0.097,0.109,0.143
1770,1.869,1.398,2.2,54.233,13.426,4.943,0.372,0.621,17.064,0.477,0.097,0.108,0.142
1778,1.864,1.39,1.7,54.237,13.475,4.955,0.371,0.623,17.054,0.475,0.096,0.107,0.141
1788,1.876,1.388,1.3,54.258,13.455,4.961,0.373,0.624,17.033,0.472,0.096,0.107,0.14
1798,1.866,1.385,1.5,54.263,13.441,4.966,0.374,0.625,16.999,0.469,0.095,0.106,0.14
1807,1.867,1.389,0.9,54.3,13.428,4.956,0.373,0.626,17.006,0.467,0.1,0.111,0.139
1819,1.856,1.392,0.9,54.238,13.42,4.95,0.373,0.625,16.992,0.464,0.099,0.11,0.138
1827,1.846,1.39,2.1,54.209,13.39,4.934,0.372,0.626,16.984,0.467,0.099,0.11,0.137
1836,1.852,1.388,2.0,54.191,13.383,4.945,0.373,0.627,16.968,0.464,0.104,0.115,0.137
1850,1.853,1.402,2.1,54.239,13.37,4.94,0.373,0.624,16.955,0.467,0.103,0.114,0.136
1859,1.849,1.405,0.5,54.319,13.416,4.941,0.373,0.623,16.948,0.465,0.103,0.114,0.135
1868,1.844,1.425,0.8,54.237,13.387,4.93,0.373,0.62,16.967,0.462,0.102,0.113,0.134
1877,1.84,1.422,0.7,54.187,13.353,4.914,0.372,0.62,16.976,0.465,0.102,0.112,0.134
1881,1.83,1.426,0.5,54.154,13.324,4.894,0.371,0.62,16.966,0.468,0.101,0.112,0.133
1897,1.82,1.429,2.0,54.042,13.27,4.873,0.371,0.621,16.967,0.471,0.101,0.111,0.132
